Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,Kingdom,Phylum,Class,Order,Family,Genus,Specific epithet,Notes
NC_RockyIt,Gibbonsia metzi,OPC,,,,Animalia,Chordata,Teleostei,Perciformes,Clinidae,Gibbonsia,metzi,
NC_RockyIt,Gibbonsia montereyensis,OPC,,,,Animalia,Chordata,Teleostei,Perciformes,Clinidae,Gibbonsia,montereyensis,
NC_RockyIt,Gobiesox maeandricus,OPC,,,,Animalia,Chordata,Teleostei,Perciformes,Gobisocidae,Gobiesox,maeandricus,
NC_RockyIt,Hemilepidotus hemilepidotus,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae, Hemilepidotus, hemilepidotus,
NC_RockyIt,Hemilepidotus spinosus,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae, Hemilepidotus,spinosus,
NC_RockyIt,Hexagrammos decagrammus,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Hexagrammidae,Hexagrammos,decagrammus,
NC_RockyIt,Hexagrammos lagocephalus,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Hexagrammidae,Hexagrammos,lagocephalus,
NC_RockyIt,Liparis florae,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Liparidae,Liparis,florae,
NC_RockyIt,Oligocottus maculosus,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Oligocottus,maculosus,
NC_RockyIt,Oligocottus rimensis,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Oligocottus,rimensis,
NC_RockyIt,Oligocottus rubellio,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Oligocottus,rubellio,
NC_RockyIt,Oligocottus snyderi,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Oligocottus,snyderi,
NC_RockyIt,Oligocottus spp.,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Oligocottus,spp.,Any Oligoocottus that was unable to be identified to the species level
NC_RockyIt,Phytichthys chirus,OPC,,,,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Phytichthys,chirus,
NC_RockyIt,Scorpaenichthys marmoratus,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Cottidae,Scorpaenichthys,marmoratus,
NC_RockyIt,Sebastes carnatus,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Scorpaenidae,Sebastes,carnatus,
NC_RockyIt,Sebastes melanops,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Scorpaenidae,Sebastes,melanops,
NC_RockyIt,Sebastes miniatus,OPC,,,,Animalia,Chordata,Teleostei,Scorpaeniformes ,Scorpaenidae,Sebastes,miniatus,
NC_RockyIt,Unknown Stichaeid,OPC,,,,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,,,Any Stichaeid that was unable to be identified to the genus level
NC_RockyIt,Xiphister atropurpureus,OPC,,,,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Xiphister,atropurpureus,
NC_RockyIt,Xiphister mucosus,OPC,,,,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Xiphister,mucosus,
SC_Rocky_It,pisaster,OPC,,,,,,,,,,,
SC_Rocky_It,chthamalus/balanus,,,,,,,,,,,,
SC_Rocky_It,mytilus,,,,,,,,,,,,
SC_Rocky_It,rock,,,,,,,,,,,,
SC_Rocky_It,pollicipes,,,,,,,,,,,,
SC_Rocky_It,silvetia,,,,,,,,,,,,
SC_Rocky_It,endocladia,,,,,,,,,,,,
SCMPA Beach,Macrocystis pyrifera,,,Giant Kelp,,Plantae,Phaeophyta,Phaeophyceae,Laminariales,Lessoniaceae,Macrocystis,pyrifera,
SCMPA Beach,Egregia menziesii,,,Feather Boa Kelp,,Plantae,Phaeophyta,Phaeophyceae,Laminariales,Alariaceae,Egregia,menziesii,
SCMPA Beach,Phyllospadix torreyi,,,Surfgrass,,Plantae,Magnoliophyta,Liliopsida,Najadales,Zosteraceae,Phyllospadix,torreyi,
SCMPA Beach,Zostera marina,,,Eel grass,,Plantae,Magnoliophyta,Liliopsida,Najadales,Zosteraceae,Zostera,marina,
SC_Beach,Akephorus marinus,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Akephorus,marinus,
SC_Beach,Aleochara sulcicollis,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Aleochara,sulcicollis,
SC_Beach,Alloniscus perconvexus,,,,,Animalia,Arthropoda,Malacostracans,Isopoda,Alloniscidae,Alloniscus,perconvexus,
SC_Beach,Amastigos acutus,,,,,Animalia,Annelida,Polychaeta,,Capitellidae,Amastigos,acutus,
SC_Beach,Amblyderus ,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Amblyderus,,
SC_Beach,Americhelidium ,,,,,Animalia,Arthropoda,Malacostracans,Amphipoda,Oedicerotidae,Americhelidium,,
SC_Beach,Arabella iricolor,,,,,Animalia,Annelida,Polychaeta,Eunicida,Oenonidae,Arabella,iricolor,
SC_Beach,Archaeomysis grebnitzkii,,,,,Animalia,Arthropoda,Malacostracans,Mysida,Mysidacea,Archaeomysis,grebnitzkii,
SC_Beach,Archaeomysis maculata,,,,,Animalia,Arthropoda,Malacostracans,Mysida,Mysidacea,Archaeomysis,maculata,
SC_Beach,Archaeomysis ,,,,,Animalia,Arthropoda,Malacostracans,Mysida,Mysidacea,Archaeomysis,,
SC_Beach,Arenicola ,,,,,Animalia,Annelida,Polychaeta,,Arenicolidae,Arenicola,,
SC_Beach,Armadillidium vulgare,,,,,Animalia,Arthropoda,Malacostracans,Isopoda,Armadillidiidae,Armadillidium,vulgare,
SC_Beach,Bledius fenyesi,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,fenyesi,
SC_Beach,Bledius ornatus,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,ornatus,
SC_Beach,Blepharipoda occidentalis,,,,,Animalia,Arthropoda,Malacostracans,Decapoda,Blepharipodidae,Blepharipoda,occidentalis,
SC_Beach,Cafius canescens,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,canescens,
SC_Beach,Cafius decipiens,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,decipiens,
SC_Beach,Cafius lithocharinus,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,lithocharinus,
SC_Beach,Cafius luteipennis,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,luteipennis,
SC_Beach,Cafius seminitens,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,seminitens,
SC_Beach,Cafius sulcicollis,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,sulcicollis,
SC_Beach,Cafius ,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,,
SC_Beach,Callianax biplicata,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Olivellidae,Callianax,biplicata,
SC_Beach,Cercyon fimbriatus,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,fimbriatus,
SC_Beach,Cirriformia ,,,,,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Cirriformia,,
SC_Beach,Coelopa vanduzeei,,,,,Animalia,Arthropoda,Insecta,Diptera,Coelopidae,Coelopa,vanduzeei,
SC_Beach,Coelus ciliatus,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Coelus,ciliatus,
SC_Beach,Coelus globosus,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Coelus,globosus,
SC_Beach,Coelus ,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Coelus,,
SC_Beach,Dispio uncinata,,,,,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Dispio,uncinata,
SC_Beach,Donax gouldii,,,,,Animalia,Mollusca,Bivalvia,Veneroida,Donacidae,Donax,gouldii,
SC_Beach,Elassoptes marinus,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Elassoptes,marinus,
SC_Beach,Emerita analoga,,,,,Animalia,Arthropoda,Malacostracans,Decapoda,Hippidae,Emerita,analoga,
SC_Beach,Emphyastes fucicola,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Emphyastes,fucicola,
SC_Beach,Eohaustorius sawyeri,,,,,Animalia,Arthropoda,Malacostracans,Amphipoda,Haustoriidae,Eohaustorius,sawyeri,
SC_Beach,Eohaustorius washingtonianus,,,,,Animalia,Arthropoda,Malacostracans,Amphipoda,Haustoriidae,Eohaustorius,washingtonianus,
SC_Beach,Epantius obscurus,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Epantius,obscurus,
SC_Beach,Eteone dilatae,,,,,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,dilatae,
SC_Beach,Euspilotus scissus,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Euspilotus,scissus,
SC_Beach,Excirolana chiltoni,,,,,Animalia,Arthropoda,Malacostracans,Isopoda,Cirolanidae,Excirolana,chiltoni,
SC_Beach,Excirolana linquifrons,,,,,Animalia,Arthropoda,Malacostracans,Isopoda,Cirolanidae,Excirolana,linquifrons,
SC_Beach,Excirolana ,,,,,Animalia,Arthropoda,Malacostracans,Isopoda,Cirolanidae,Excirolana,,
SC_Beach,Fucellia ,,,,,Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Fucellia,,
SC_Beach,Garypus californicus,,,,,Animalia,Arthropoda,Arachnida,Pseudoscorpionida,Garypidae,Garypus,californicus,
SC_Beach,Gibberosus devaneyi,,,,,Animalia,Arthropoda,Malacostracans,Amphipoda,Megaluropidae,Gibberosus,devaneyi,
SC_Beach,Gibberosus myersi,,,,,Animalia,Arthropoda,Malacostracans,Amphipoda,Megaluropidae,Gibberosus,myersi,
SC_Beach,Glycera macrobranchia,,,,,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,macrobranchia,
SC_Beach,Gnorimosphaeroma noblei,,,,,Animalia,Arthropoda,Malacostracans,Isopoda,Sphaeromatidae,Gnorimosphaeroma,noblei,
SC_Beach,Hadrotes crassus,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Hadrotes,crassus,
SC_Beach,Hemipodia simplex,,,,,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Hemipodia,simplex,
SC_Beach,Hypocaccus bigemmeus,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,bigemmeus,
SC_Beach,Hypocaccus gaudens,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,gaudens,
SC_Beach,Lepidopa californica,,,,,Animalia,Arthropoda,Malacostracans,Decapoda,Albuneidae,Lepidopa,californica,
SC_Beach,Leuresthes tenuis,,,,,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Leuresthes,tenuis,
SC_Beach,Mandibulophoxus gilesi,,,,,Animalia,Arthropoda,Malacostracans,Amphipoda,Talitridae,Mandibulophoxus,gilesi,
SC_Beach,Megalorchestia benedicti,,,,,Animalia,Arthropoda,Malacostracans,Amphipoda,Talitridae,Megalorchestia,benedicti,
SC_Beach,Megalorchestia californiana,,,,,Animalia,Arthropoda,Malacostracans,Amphipoda,Talitridae,Megalorchestia,californiana,
SC_Beach,Megalorchestia columbiana,,,,,Animalia,Arthropoda,Malacostracans,Amphipoda,Talitridae,Megalorchestia,columbiana,
SC_Beach,Megalorchestia corniculata,,,,,Animalia,Arthropoda,Malacostracans,Amphipoda,Talitridae,Megalorchestia,corniculata,
SC_Beach,Megalorchestia minor,,,,,Animalia,Arthropoda,Malacostracans,Amphipoda,Talitridae,Megalorchestia,minor,
SC_Beach,Megalorchestia ,,,,,Animalia,Arthropoda,Malacostracans,Amphipoda,Talitridae,Megalorchestia,,
SC_Beach,Mysella pedroana,,,,,Animalia,Mollusca,Bivalvia,Veneroida,Montacutidae,Mysella,pedroana,
SC_Beach,Neomolgus littoralis,,,,,Animalia,Arthropoda,Arachnida,Trombidiformes,Bdellidae,Neomolgus,littoralis,
SC_Beach,Neopachylopus aeneipunctatus,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Neopachylopus,aeneipunctatus,
SC_Beach,Neopachylopus sulcifrons,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Neopachylopus,sulcifrons,
SC_Beach,Neopachylopus ,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Neopachylopus,,
SC_Beach,Nephtys caecoides,,,,,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,caecoides,
SC_Beach,Nephtys californiensis,,,,,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,californiensis,
SC_Beach,Nephtys ,,,,,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,,
SC_Beach,Notomastus species D,,,,,Animalia,Annelida,Polychaeta,,Capitellidae,Notomastus,species D,
SC_Beach,Notomastus ,,,,,Animalia,Annelida,Polychaeta,,Capitellidae,Notomastus,,
SC_Beach,Orbinia johnsoni,,,,,Animalia,Annelida,Polychaeta,,Orbiniidae,Orbinia,johnsoni,
SC_Beach,Paranemertes californica,,,,,Animalia,Nemertea,Enopla,Monostilifera,Emplectonematidae,Paranemertes,californica,
SC_Beach,Paranemertes peregrina,,,,,Animalia,Nemertea,Enopla,Monostilifera,Emplectonematidae,Paranemertes,peregrina,
SC_Beach,Paraonella platybranchia,,,,,Animalia,Annelida,Polychaeta,Scolecida,Paraonidae,Paraonella,platybranchia,
SC_Beach,Paraphoxus ,,,,,Animalia,Arthropoda,Malacostracans,Amphipoda,Phoxocephalidae,Paraphoxus,,
SC_Beach,Phaleria rotunda,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Phaleria,rotunda,
SC_Beach,Phycocotes testaceus,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Phycocotes,testaceus,
SC_Beach,Phyconomus marinus,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Monotomidae,Phyconomus,marinus,
SC_Beach,Pontamalota opaca,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Pontamalota,opaca,
SC_Beach,Scolelepis bullibranchia,,,,,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,bullibranchia,
SC_Beach,Scolelepis squamata,,,,,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,squamata,
SC_Beach,Scoletoma zonata,,,,,Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma,zonata,
SC_Beach,Scoloplos armiger,,,,,Animalia,Annelida,Polychaeta,,Orbiniidae,Scoloplos,armiger,
SC_Beach,Sitona ,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Sitona,,
SC_Beach,Tarphiotia fucicola,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tarphiotia,fucicola,
SC_Beach,Tarphiotia geniculata,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tarphiotia,geniculata,
SC_Beach,Tenebrionidae ,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tenebrionidae,,
SC_Beach,Thinopinus pictus,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Thinopinus,pictus,
SC_Beach,Thoracochaeta johnsoni,,,,,Animalia,Arthropoda,Insecta,Diptera,Sphaeroceridae,Thoracochaeta,johnsoni,
SC_Beach,Thoracophelia dillonensis,,,,,Animalia,Annelida,Polychaeta,,Opheliidae,Thoracophelia,dillonensis,
SC_Beach,Thoracophelia mucronata,,,,,Animalia,Annelida,Polychaeta,,Opheliidae,Thoracophelia,mucronata,
SC_Beach,Tivela stultorum,,,,,Animalia,Mollusca,Bivalvia,Veneroida,Veneridae,Tivela,stultorum,
SC_Beach,Tylos punctatus,,,,,Animalia,Arthropoda,Malacostracans,Isopoda,Tylidae,Tylos,punctatus,
SC_Beach, unknown species A,,,,,Animalia,Nemertea,,,,,unknown species A,
SC_Beach, unknown species H,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,,unknown species H,
SC_Beach,Capitellidae,,,,,Animalia,Annelida,Polychaeta,,Capitellidae,,,
SC_Beach,Dolichopodidae,,,,,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,,,
SC_Beach,Empididae,,,,,Animalia,Arthropoda,Insecta,Diptera,Empididae,,,
SC_Beach,Histeridae,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,,
SC_Beach,Spionidae,,,,,Animalia,Annelida,Polychaeta,Spionida,Spionidae,,,
SC_Beach,Staphylinidae,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,,,
SC_Beach,Diptera,,,,,Animalia,Arthropoda,Insecta,Diptera,,,,
SC_Beach,Formicidae,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,,
SC_Beach,Coccinellidae,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,,,
SC_Beach,Thoracophelia ,,,,,Animalia,Annelida,Polychaeta,,Opheliidae,Thoracophelia,,
SC_Beach,Fucellia costalis,,,,,Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Fucellia,costalis,
SC_Beach,Hemipodia ,,,,,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Hemipodia,,
SC_Beach,Ephydridae,,,,,Animalia,Arthropoda,Insecta,Diptera,Ephydridae,,,
SC_Beach,Coleoptera,,,,,Animalia,Arthropoda,Insecta,Coleoptera,,,,
NC_SBeach,Emerita analoga,,,,,,,,,,,,
NC_RockyIt,acanthinucella spp,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,acanthinucella,spp,
NC_RockyIt,Alaria marginata,,,,,Plantae,Heterokontophyta,Phaeophyceae,Laminariales,Alariaceae,alaria,marginata,
NC_RockyIt,alia spp,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,alia,spp,
NC_RockyIt,amphissa spp,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,amphissa,spp,"changed description from amphissa versicolor to amphissa spp. starting SP10, changed six letter code from AMPVER to AMPSPP in FA11 to match class table"
NC_RockyIt,Analipus japonicus,,,,,Plantae,Heterokontophyta,Phaeophyceae,Ectocarpales,Chordariaceae,analipus,japonicus,
NC_RockyIt,Anthopleura elegantissima,,,,,Animalia,Cnidaria,Anthozoa,Actinaria,Actiniidae,anthopleura,elegantissima,
NC_RockyIt,aplysia californica,,,,,Animalia,Mollusca,Gastropoda,Anaspidea,Aplysiidae,aplysia,californica,
NC_RockyIt,Articulated corallines,,,,,Plantae,Rhodophyta,Rhodophyceae,Corallinales,Corallinaceae,,,
NC_RockyIt,asterina miniata,,,,,,Animalia,Echinodermata,Asteroidea,Asterinidae,asterina,miniata,
NC_RockyIt,bittium spp,,,,,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Cerithiidae,bittium,spp,"changed code from BITESC to BITSPP starting FA11, changed description from bittium eschrictii to bittium spp (species not always reliably identified to species)"
NC_RockyIt,calliostoma ligatum,,,,,,Animalia,Mollusca,Gastropoda,Calliostomatidae,calliostoma,ligatum,"added Aug, 2012 based on SSSC data"
NC_RockyIt,calliostoma spp,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Calliostomatidae,calliostoma,spp,
NC_RockyIt,Callithamnion pikeanum,,,,,Plantae,Rhodophyta,Rhodophyceae,Ceramiales,Ceramiaceae,callithamnion,pikeanum,
NC_RockyIt,ceratostoma nuttalli,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,ceratostoma,nuttalli,
NC_RockyIt,chitons,,,,,Animalia,Mollusca,Polyplacophora,,,,,
NC_RockyIt,Cladophora columbiana,,,,,Plantae,Chlorophyta,Chlorophyceae,Cladophorales,Cladophoraceae,cladophora,columbiana,
NC_RockyIt,Cobble,,,,,.,.,.,.,.,.,.,
NC_RockyIt,conus californicus,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Conidae,conus,californicus,
NC_RockyIt,crepidula spp,,,,,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae,crepidula,spp,
NC_RockyIt,Crustose corallines,,,,,Plantae,Rhodophyta,Rhodophyceae,Corallinales,Corallinaceae,,,
NC_RockyIt,dermasterias imbricata,,,,,Animalia,Echinodermata,Asteroidea,Spinulosida,Poraniidae,dermasterias,imbricata,
NC_RockyIt,Egregia menziesii,,,,,Plantae,Heterokontophyta,Phaeophyceae,Laminariales,Alariaceae,egregia,menziesii,
NC_RockyIt,epitonium tinctum,,,,,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Epitoniidae,epitonium,tinctum,
NC_RockyIt,evasterias troschelii,,,,,Animalia,Echinodermata,Asteroidea,,,evasterias,troschelii,"added Aug, 2012 based on SSSC data"
NC_RockyIt,fissurella volcano,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Fissurellidae,fissurella,volcano,
NC_RockyIt,flatworm,,,,,Animalia,Platyhelminthes,,,,,,
NC_RockyIt,Gelidium coulteri,,,,,,Plantae,Rhodophyta,Florideophyceae,Gelidiaceae,gelidium,coulteri,
NC_RockyIt,Haliotis,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotididae,haliotis,,
NC_RockyIt,haliotis cracherodii,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotididae,haliotis,cracherodii,
NC_RockyIt,haliotis rufescens,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotididae,haliotis,rufescens,
NC_RockyIt,hemigrapsus nudus,,,,,Animalia,Anthropoda,Malacostraca,Decapoda,Varunidae,hemigrapsus,nudus,
NC_RockyIt,hemigrapsus oregonensis,,,,,Animalia,Anthropoda,Malacostraca,Decapoda,Varunidae,hemigrapsus,oregonensis,"added Oct, 2011 based on OCNMS data"
NC_RockyIt,henricia spp,,,,,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,henricia,spp,
NC_RockyIt,hermit crabs,,,,,Animalia,Arthropoda,Malacostraca,Decapoda,,,,
NC_RockyIt,homalopoma spp,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trubinidae,homalopoma,spp,
NC_RockyIt,idotea spp,,,,,Animalia,Anthropoda,Malacostraca,Isopoda,Idoteidae,idotea,spp,UCSC/PISCO/RNSP started counting in 2008
NC_RockyIt,juvenile unidentified brittlestar,,,,,Animalia,Echinodermata,Ophiuroidea,,,,,
NC_RockyIt,katharina tunicata,,,,,Animalia,Mollusca,Polyplacophora,Neoloricata,Mopaliidae,katharina,tunicata,"seen in PBNERR Plots, added to motile_counts in Feb, 2012"
NC_RockyIt,kelletia kelletii,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,kelletia,kelletii,
NC_RockyIt,lacuna spp,,,,,,Animalia,Mollusca,Gastropoda,Littorinidae,lacuna,spp,"added Aug, 2012 based on SSSC data"
NC_RockyIt,lepidochitona dentiens,,,,,Animalia,Mollusca,Polyplacophora,Neoloricata,Lepidochitonidae,lepidochitona,dentiens,
NC_RockyIt,lepidochitona spp,,,,,Animalia,Mollusca,Polyplacophora,Neoloricata,Lepidochitonidae,lepidochitona,spp,
NC_RockyIt,lepidozona spp,,,,,Animalia,Mollusca,Polyplacophora,Neoloricata,Ischnochitonidae,lepidozona,spp,
NC_RockyIt,leptasterias spp,,,,,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,leptasterias,spp,
NC_RockyIt,limpets 5-15 mm in size on all substrate,,,,,Animalia,Mollusca,,,,,,"these values are copied from limpet_litt, and are used for all groups from now on - combined medium limpets on rock/mussel as of 10/2/09 and removed LMDROC, LMDMUS categories. LMDALL previously only used for CINP from 4/30/09 on."
NC_RockyIt,limpets under 5 mm in size on all substrate,,,,,Animalia,Mollusca,,,,,,"these values are copied from limpet_litt, and are used for all groups from now on - combined small limpets on rock/mussel as of 10/2/09 and removed LSMROC, LSMMUS categories. LSMALL previously only used for CINP from 4/30/09 on."
NC_RockyIt,limpets unsized on all substrate,,,,,Animalia,Mollusca,,,,,,"used by CINP from FA99 to SP02, also used by PISCO for FA99 (before size categories used)"
NC_RockyIt,lirabuccinum dirum,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Lirabuccinum,dirum,"added 05/09 b/c of high abundance in WA, formerly named Searlesia dira"
NC_RockyIt,littorina spp,,,,,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Littorinidae,littorina,spp,these values are copied from limpet_litt
NC_RockyIt,lottia gigantea,,,,,Animalia,Mollusca,Gastropoda,Patellogastropoda,Lottiidae,lottia,gigantea,
NC_RockyIt,macron lividus,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Pseudolividae,macron,lividus,
